area,area_code,area_name,year,sort,category,MYE
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,1,Starting population,1688838
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,2,Births,21460
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,3,Deaths,14432
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,4,Natural Change,7028
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,8,United Kingdom Inflows,12510
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,9,United Kingdom Outflows,11589
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,10,United Kingdom Net,921
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,11,Rest of world Inflows,6488
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,12,Rest of world Outflows,6393
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,13,Rest of world Net,95
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,14,Total Inflows,18998
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,15,Total Outflows,17982
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,16,Total Net,1016
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,17,Other changes,652
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,18,Migration and other changes,1668
1. Northern Ireland,N92000002,NORTHERN IRELAND,2001/2002,19,End population,1697534
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,1,Starting population,1697534
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,2,Births,21433
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,3,Deaths,14648
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,4,Natural Change,6785
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,8,United Kingdom Inflows,11107
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,9,United Kingdom Outflows,11005
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,10,United Kingdom Net,102
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,11,Rest of world Inflows,6810
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,12,Rest of world Outflows,6683
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,13,Rest of world Net,127
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,14,Total Inflows,17917
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,15,Total Outflows,17688
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,16,Total Net,229
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,17,Other changes,376
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,18,Migration and other changes,605
1. Northern Ireland,N92000002,NORTHERN IRELAND,2002/2003,19,End population,1704924
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,1,Starting population,1704924
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,2,Births,22049
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,3,Deaths,14736
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,4,Natural Change,7313
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,6,Internal Outflows,0
